"sample","number","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25273/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25376/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25420/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25258/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25416/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25178/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25417/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25263/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25264/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25423/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25424/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25425/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25426/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25427/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25428/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25429/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25431/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25180/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25271/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25272/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25434/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25435/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25436/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25438/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25439/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25442/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25181/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25274/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25276/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25278/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25184/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25186/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25282/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25170/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25187/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25285/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25287/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25289/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25188/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25290/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25291/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25292/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25294/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25296/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25297/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25299/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25303/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25304/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25195/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25305/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25306/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25307/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25197/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25308/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25311/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25313/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25201/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25315/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25316/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25318/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25205/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25322/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25323/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25325/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25326/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25327/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25328/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25209/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25329/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25330/?format=feather",0,"0-50","all.indicators",NA
