"sample","caab","family","scientific","genus","species","length","number","range","rms","precision","community_thermal_index","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",75.55045,1,1450.85101,0.56756,1.23775,17.16455,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",142.34452,1,2543.49847,5.23358,7.59475,17.16455,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",115.93117,1,2029.01866,3.13194,2.23336,17.16455,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37007001,"Heterodontidae","Heterodontus portusjacksoni","Heterodontus","portusjacksoni",490.5945,1,1902.98509,2.205,2.29433,18.60664,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37384088,"Labridae","Coris auricularis","Coris","auricularis",248.92665,1,3451.6826,0.2745,10.15073,20.79165,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37384088,"Labridae","Coris auricularis","Coris","auricularis",322.39446,1,4185.18171,6.13841,9.47649,20.79165,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37384105,"Labridae","Eupetrichthys angustipes","Eupetrichthys","angustipes",73.71436,1,2557.12826,5.23324,2.54062,19.25374,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37465007,"Monacanthidae","Scobinichthys granulatus","Scobinichthys","granulatus",157.72827,1,4121.46299,2.13252,10.22119,18.79196,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37355029,"Mullidae","Upeneichthys vlamingii","Upeneichthys","vlamingii",211.94816,1,6049.15649,1.00362,20.68797,16.65296,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",37390004,"Pinguipedidae","Parapercis haackei","Parapercis","haackei",83.79784,1,1828.73801,3.90563,3.01146,20.2006,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3694,-33.4778,13.7,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26272/?format=feather",37320004,"Glaucosomatidae","Glaucosoma hebraicum","Glaucosoma","hebraicum",535.33728,1,1623.07795,3.21421,1.84087,20.95656,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4547,-33.4581,18.4,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26272/?format=feather",37353001,"Sparidae","Chrysophrys auratus","Chrysophrys","auratus",688.56891,1,5589.07165,1.47767,21.47916,19.75909,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4547,-33.4581,18.4,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26430/?format=feather",37330001,"Sillaginidae","Sillaginodes punctatus","Sillaginodes","punctatus",394.85221,1,4112.27138,3.69229,16.15479,18.00333,"Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.42,-33.5333,13.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",107.86261,1,1800.52814,1.35324,1.32207,17.16455,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",80.32523,1,1846.05348,1.11584,3.44885,17.16455,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",88.18213,1,3769.84328,4.28407,5.41989,17.16455,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",101.70657,1,2142.30812,0.91353,2.22507,17.16455,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",88.95846,1,1535.05283,4.05893,1.90969,17.16455,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",37384022,"Labridae","Notolabrus parilus","Notolabrus","parilus",193.45843,1,2432.88431,8.96822,2.85404,20.24906,"No-take","Sanctuary Zone","Geographe Bay","Geographe Bay",115.4144,-33.558,11.9,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26277/?format=feather",37337007,"Carangidae","Seriola hippos","Seriola","hippos",796.99634,1,2199.83622,19.81596,2.52554,20.70145,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5224,-33.4052,14.8,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26278/?format=feather",37349001,"Gerreidae","Parequula melbournensis","Parequula","melbournensis",102.279,1,1920.0888,5.04026,4.10904,17.16455,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2779,-33.3658,36.6,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26278/?format=feather",37353001,"Sparidae","Chrysophrys auratus","Chrysophrys","auratus",624.33597,1,1431.64795,4.40412,1.36215,19.75909,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2779,-33.3658,36.6,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26437/?format=feather",37337007,"Carangidae","Seriola hippos","Seriola","hippos",243.38562,1,2201.66278,5.60364,6.10376,20.70145,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5176,-33.4197,14.5,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26437/?format=feather",37337007,"Carangidae","Seriola hippos","Seriola","hippos",255.7278,1,2248.37276,3.72902,5.36515,20.70145,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5176,-33.4197,14.5,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26437/?format=feather",37384057,"Labridae","Bodianus frenchii","Bodianus","frenchii",428.81904,1,2789.06843,8.03466,5.09619,20.68325,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5176,-33.4197,14.5,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26437/?format=feather",37384039,"Labridae","Choerodon rubescens","Choerodon","rubescens",311.2249,1,2250.38505,6.81512,3.12591,21.16713,"Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5176,-33.4197,14.5,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26438/?format=feather",37320004,"Glaucosomatidae","Glaucosoma hebraicum","Glaucosoma","hebraicum",302.8238,1,1006.70402,1.01078,0.71944,20.95656,"Fished","Habitat Protection Zone","Geographe Bay","Geographe Bay",115.2133,-33.5932,26.5,TRUE,TRUE
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26438/?format=feather",37384057,"Labridae","Bodianus frenchii","Bodianus","frenchii",336.20204,1,1654.04182,3.06726,1.22253,20.68325,"Fished","Habitat Protection Zone","Geographe Bay","Geographe Bay",115.2133,-33.5932,26.5,TRUE,TRUE
