"sample","number","size.class","scientific","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length","time_stamp"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25466/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.5404917,-22.84786205,0,TRUE,TRUE,"2019-08-12T01:23:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25467/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.5252875,-22.85016136,0,TRUE,TRUE,"2019-08-12T01:35:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25468/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.51304,-22.84437,0,TRUE,TRUE,"2019-08-12T01:43:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25469/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.5183981,-22.8402743,0,TRUE,TRUE,"2019-08-12T01:51:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25470/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.51601,-22.83417,0,TRUE,FALSE,"2019-08-12T01:58:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25471/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","1","Ningaloo Marine Park",113.523387,-22.83153691,0,TRUE,TRUE,"2019-08-12T02:06:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25472/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","2","Ningaloo Marine Park",113.5625852,-22.83153691,0,TRUE,FALSE,"2019-08-12T03:47:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25473/?format=feather",0,"0-50","All indicator species","Fished","Recreational Use Zone","2","Ningaloo Marine Park",113.5659111,-22.82900766,0,TRUE,TRUE,"2019-08-12T03:57:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25474/?format=feather",0,"0-50","All indicator species","Fished","Recreational Use Zone","2","Ningaloo Marine Park",113.5815904,-22.82440903,0,TRUE,TRUE,"2019-08-12T04:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25475/?format=feather",0,"0-50","All indicator species","Fished","Recreational Use Zone","2","Ningaloo Marine Park",113.5770767,-22.82256957,0,TRUE,TRUE,"2019-08-12T04:12:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25476/?format=feather",0,"0-50","All indicator species","Fished","Recreational Use Zone","2","Ningaloo Marine Park",113.5716127,-22.82164985,0,TRUE,TRUE,"2019-08-12T04:18:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25477/?format=feather",0,"0-50","All indicator species","Fished","Recreational Use Zone","2","Ningaloo Marine Park",113.5640106,-22.8191206,0,TRUE,TRUE,"2019-08-12T04:24:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25478/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.5207738,-22.81314238,0,TRUE,TRUE,"2019-08-12T06:12:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25479/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.5262378,-22.81015327,0,TRUE,FALSE,"2019-08-12T06:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25480/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.5338398,-22.80693423,0,TRUE,TRUE,"2019-08-12T06:00:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25481/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.51938,-22.80608,0,TRUE,FALSE,"2019-08-12T06:17:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25482/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.51626,-22.80532471,0,TRUE,TRUE,"2019-08-12T06:21:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25483/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","3","Ningaloo Marine Park",113.5105585,-22.80463491,0,TRUE,TRUE,"2019-08-12T06:25:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25484/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.49708,-22.80504,0,TRUE,TRUE,"2019-08-13T00:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25485/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.51077,-22.79001,0,TRUE,TRUE,"2019-08-13T00:15:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25486/?format=feather",2,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.5005807,-22.78991929,0,TRUE,TRUE,"2019-08-13T00:24:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25487/?format=feather",1,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.4984427,-22.78601045,0,TRUE,TRUE,"2019-08-13T00:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25488/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.496067,-22.78371114,0,TRUE,TRUE,"2019-08-13T00:33:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25489/?format=feather",0,"0-50","All indicator species","Fished","Multiple Use Zone","4","Ningaloo Marine Park",113.4877522,-22.78578052,0,TRUE,TRUE,"2019-08-13T00:56:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25490/?format=feather",0,"0-50","All indicator species","No-take","National Park Zone","5","Ningaloo Marine Park",113.54762,-22.78253,0,TRUE,TRUE,"2019-08-13T07:37:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25491/?format=feather",0,"0-50","All indicator species","No-take","National Park Zone","5","Ningaloo Marine Park",113.56188,-22.78303,0,TRUE,TRUE,"2019-08-13T07:42:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25492/?format=feather",0,"0-50","All indicator species","No-take","National Park Zone","5","Ningaloo Marine Park",113.57245,-22.7727833,0,TRUE,TRUE,"2019-08-13T07:49:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25493/?format=feather",0,"0-50","All indicator species","No-take","National Park Zone","5","Ningaloo Marine Park",113.5716127,-22.76807579,0,TRUE,TRUE,"2019-08-13T07:53:00Z"
