genus,species,sex,l50.mm,location,marine.region,indicator.species,indicator.region,measurement.type,hermaphrodite,source
Choerodon,rubescens,F,279,WA,SW/NW,Yes,WCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,rubescens,M,479,WA,SW/NW,Yes,WCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,rubescens,M,544,WA,SW/NW,Yes,WCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,schoenleinii,F,252,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,schoenleinii,M,556,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,cyanodus,F,122,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Choerodon,cyanodus,M,221,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Nemadactylus,valenciennesi,B,400,WA,SW/NW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelides,armatus,F,306,WA,SW/NW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelides,armatus,M,256,WA,SW/NW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelus,coioides,F,575,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelus,coioides,M,925,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelus,malabaricus,F,803,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Epinephelus,malabaricus,M,1103,WA,SW/NW,No,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Plectropomus,leopardus,F,400,Abrolhos,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Plectropomus,leopardus,M,560,Abrolhos,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Glaucosoma,hebraicum,F,301,WA,SW/NW,Yes,WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Glaucosoma,hebraicum,M,320,WA,SW/NW,Yes,WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,nebulosus,B,350,WA,SW/NW,Yes,GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,laticaudis,F,230,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,laticaudis,M,190,Shark Bay,NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,miniatus,F,280,WA,SW/NW,Yes,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,miniatus,M,463,WA,SW/NW,Yes,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lethrinus,miniatus,M,481,WA,SW/NW,Yes,,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,F,282,South west,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,M,250,South west,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,F,288,West coast,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,M,250,West coast,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,F,384,Eastern south coast,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Centroberyx,gerrardi,M,516,Eastern south coast,SW,Yes,SCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,F,378,Carnarvon,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,M,353,Carnarvon,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,F,411,Shark Bay eastern gulf,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,M,326,Shark Bay eastern gulf,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,F,496,Shark Bay Freycinet,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,M,390,Shark Bay Freycinet,NW,Yes,SCD/WCD/GCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,F,585,Metro,SW,Yes,SCD/WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,M,566,Metro,SW,Yes,SCD/WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,F,600,South coast,SW,Yes,SCD/WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Chrysophrys,auratus,M,586,South coast,SW,Yes,SCD/WCD,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,sebae,F,461,Kimberley,NW,No,,TL,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,sebae,M,491,Kimberley,NW,No,,TL,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Achoerodus,gouldii,F,653,WA,SW/NW,Yes,SCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Achoerodus,gouldii,M,800,WA,SW/NW,Yes,SCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Achoerodus,gouldii,M,850,WA,SW/NW,Yes,SCD,,protygenous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Seriola,hippos,F,831,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
