"sample","number","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26195/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",2,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26223/?format=feather",6,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26232/?format=feather",4,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26237/?format=feather",5,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26242/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26253/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26257/?format=feather",6,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26263/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26266/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26287/?format=feather",2,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26311/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26313/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26320/?format=feather",4,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26325/?format=feather",8,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26349/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26357/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26371/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26377/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26390/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26395/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26419/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26425/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26429/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26439/?format=feather",6,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26440/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26441/?format=feather",2,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26442/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26462/?format=feather",3,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26463/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26464/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26466/?format=feather",1,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26469/?format=feather",4,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26477/?format=feather",4,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26434/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26272/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26430/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26192/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26431/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26277/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26278/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26437/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26438/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26443/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26445/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26194/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26286/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26448/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26450/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26452/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26453/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26456/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26288/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26290/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26292/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26198/?format=feather",0,"0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26200/?format=feather",0,"0-50","all.indicators",NA
